FONDREN RD @ PORTAL DR,S6381,-95.508349,29.660468,17,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ BANKSIDE DR,S6382,-95.508369,29.66261,18,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ BANKSIDE DR MB,S6383,-95.508394,29.664381,19,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ WILLOWBEND BLVD,S6384,-95.508422,29.667096,20,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ DUMFRIES DR,S6385,-95.508453,29.670558,21,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ BRAESWOOD BLVD,S6390,-95.50851,29.674698,22,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ BRAESWOOD BLVD,S6391,-95.508752,29.673674,34,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ DUMFRIES DR,S6392,-95.50873,29.670984,35,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ WILLOWBEND BLVD,S6393,-95.508676,29.666829,36,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ BANKSIDE DR,S6394,-95.508638,29.662952,38,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ PORTAL DR,S6395,-95.508605,29.661073,39,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ SANFORD RD,S6396,-95.508597,29.658495,40,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ W BELLFORT AVE,S6397,-95.508572,29.656955,41,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ BELLFORT ST,S6398,-95.508544,29.653996,42,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ LUDINGTON DR,S6399,-95.508521,29.651742,43,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ LUDINGTON DR,S6400,-95.508494,29.649497,44,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ SOUTHMEADOW DR,S6401,-95.508487,29.647601,45,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ W AIRPORT BLVD,S6402,-95.508448,29.644585,46,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ TURK LN,S6403,-95.508417,29.640993,47,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ FONMEADOW DR,S6404,-95.508393,29.63872,48,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ MINETTA ST,S6405,-95.508357,29.635612,49,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ E HAMPTON CIR,S6406,-95.508116,29.63198,50,Ho414_4620_36027,Ho414_4620_36027_1
WESTHEIMER RD @ DUNVALE RD,S7118,-95.514579,29.737618,3,Ho414_4620_36027,Ho414_4620_36027_1
